CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-22-03,SX,Bear,1964,650,1.00,650,1.38,898,2.00,"1,797","1,764",45.9%,"3,561","2,050",53.3%,"3,847",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1965,800,1.00,800,1.38,"1,106",2.00,"2,211","1,348",33.4%,"3,559","1,830",45.3%,"4,041",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1966,325,1.00,325,1.38,449,2.00,898,"1,432",59.3%,"2,330","1,517",62.8%,"2,415",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1967,500,1.45,724,1.38,"1,000",2.00,"2,000","3,779",58.7%,"5,779","4,441",68.9%,"6,441",1.50,3.46,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1968,500,1.45,724,1.38,"1,000",2.00,"2,000","2,925",57.0%,"4,924","3,130",61.0%,"5,130",1.50,3.46,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1969,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1970,550,1.00,550,1.38,760,2.00,"1,520","1,485",48.4%,"3,006","1,552",50.5%,"3,072",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1971,200,1.06,213,1.38,294,2.00,589,688,52.9%,"1,277",713,54.8%,"1,301",1.50,4.70,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1972,"3,500",1.06,"3,726",1.38,"5,149",2.00,"10,299","11,894",50.7%,"22,193","13,179",56.1%,"23,477",1.50,4.70,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1973,"5,000",1.06,"5,323",1.38,"7,356",2.00,"14,713","23,040",58.6%,"37,752","24,587",62.6%,"39,300",1.50,4.70,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1974,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1975,50,1.06,53,1.38,74,2.00,147,103,40.6%,250,107,42.2%,254,1.50,4.70,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1976,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1977,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1978,250,1.00,250,1.38,346,2.00,691,901,51.9%,"1,592","1,044",60.2%,"1,735",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1979,50,16.50,825,1.38,"1,140",2.00,"2,280","2,619",50.3%,"4,899","2,921",56.2%,"5,202",1.50,0.30,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1980,150,1.15,173,1.38,239,2.00,478,499,42.5%,977,697,59.3%,"1,174",1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1981,220,1.00,220,1.38,304,2.00,608,742,52.0%,"1,350",819,57.4%,"1,427",1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1982,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1983,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1984,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1985,200,1.15,230,1.38,319,2.00,637,605,44.5%,"1,242",723,53.1%,"1,360",1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1986,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1987,"1,000",1.15,"1,152",1.38,"1,593",2.00,"3,186","1,931",35.9%,"5,117","2,189",40.7%,"5,374",1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1988,300,1.15,346,1.38,478,2.00,956,"1,156",47.8%,"2,112","1,462",60.5%,"2,417",1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1989,74,1.00,74,1.38,102,2.00,205,165,38.2%,369,227,52.6%,432,1.50,5.00,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1990,60,1.15,69,1.38,96,2.00,191,192,41.8%,383,268,58.4%,459,1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1991,150,1.15,173,1.38,239,2.00,478,583,45.8%,"1,061",795,62.5%,"1,273",1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-03,SX,Bear,1992,200,1.15,230,1.38,319,2.00,637,832,48.4%,"1,469","1,083",63.0%,"1,720",1.50,4.34,3.62,Bear+,[LOOKUP CU],Sockeye Model,04
