"","Year","Species Name","Escapement","CDN Harvest","Total Harvest","TRTC","Total Run","SEAK Harvest","SEAK ER","CDN ER","Total ER"
"157",2005,"Chum",56889.2329655591,4440.72771067102,14647.7696959898,61329.9606762302,71537.002661549,10207.0419853188,0.142681991215227,0.062075954337655,0.204757945552882
"158",2006,"Chum",83063.8703580301,11696.5481056964,18234.9906068259,94760.4184637265,101298.860964856,6538.4425011295,0.0645460614152207,0.115465741611392,0.180011803026613
"159",2007,"Chum",33763.2267705659,2635.82963546453,8743.52285933676,36399.0564060304,42506.7496299027,6107.69322387223,0.143687609075044,0.0620096727793619,0.205697281854406
"160",2008,"Chum",28654.0720129612,1604.49396694498,5258.4693300479,30258.5659799062,33912.5413430091,3653.97536310292,0.107747022735474,0.0473127021274016,0.155059724862876
"161",2009,"Chum",38704.2517174109,2551.17131229913,9098.79366939237,41255.42302971,47803.0453868032,6547.62235709324,0.136970820668694,0.0533683846218597,0.190339205290553
"162",2010,"Chum",19502.3088782034,607.247263772673,3618.57781594171,20109.5561419761,23120.8866941451,3011.33055216904,0.130242866201649,0.026264012786605,0.156506878988254
"163",2011,"Chum",19202.8119692829,1333.95469662736,3237.68407783106,20536.7666659102,22440.4960471139,1903.7293812037,0.0848345498783456,0.0594440824225417,0.144278632300887
"164",2012,"Chum",34379.1492240379,915.196419492043,6714.56508873801,35294.3456435299,41093.7143127759,5799.36866924597,0.141125443786982,0.0222709588266036,0.163396402613586
"165",2013,"Chum",28618.8780717666,1421.0177237943,6192.45436474258,30039.8957955609,34811.3324365092,4771.43664094828,0.137065613608749,0.0408205496410122,0.177886163249761
"166",2014,"Chum",38713.3842609943,794.066463881093,8024.90248566809,39507.4507248754,46738.2867466624,7230.836021787,0.154709051724138,0.0169896356746067,0.171698687398745
"167",2015,"Chum",120304.31785403,13307.8139047287,32807.228973443,133612.131758759,153111.546827473,19499.4150687143,0.127354307841239,0.0869158086406378,0.214270116481877
"168",2016,"Chum",32738.9864681597,284.254104902157,5438.25176977118,33023.2405730619,38177.2382379309,5153.99766486902,0.135001846722068,0.00744564347820574,0.142447490200274
"169",2017,"Chum",42819.7250039204,118.552922224881,3345.87117729753,42938.2779261453,46165.5961812179,3227.31825507265,0.0699074315514993,0.00256799287849581,0.0724754244299951
"170",1954,"Pink (even years)",132663.836665129,62474.5037903532,106899.428307643,195138.340455482,239563.264972773,44424.9245172898,0.185441305128058,0.26078499054291,0.446226295670968
"171",1956,"Pink (even years)",221660.149275905,234857.561543696,338787.751769915,456517.710819601,560447.90104582,103930.190226219,0.185441305128061,0.419053334137645,0.604494639265706
"172",1958,"Pink (even years)",148720.650758186,79299.6722422703,131210.463397196,228020.323000457,279931.114155383,51910.7911549257,0.185441305128058,0.283282808635031,0.468724113763089
"173",1960,"Pink (even years)",117558.969621508,43954.5820673621,80724.5337106395,161513.55168887,198283.503332148,36769.9516432774,0.185441305128059,0.221675436073636,0.407116741201695
"174",1962,"Pink (even years)",498660.735126078,85570.8854933445,218576.24766897,584231.620619422,717236.982795048,133005.362175626,0.18544130512806,0.119306292823716,0.304747597951776
"175",1964,"Pink (even years)",560873.440191919,126320.80282972,282766.493121512,687194.243021639,843639.933313431,156445.690291792,0.18544130512806,0.149733076685441,0.3351743818135
"176",1966,"Pink (even years)",623372.890957459,177697.877957371,360068.540529279,801070.76891483,983441.431486738,182370.662571908,0.18544130512806,0.18068984310406,0.36613114823212
"177",1968,"Pink (even years)",448360.875323025,198517.837653109,345785.3501713,646878.712976135,794146.225494325,147267.512518191,0.185441305128061,0.249976429126184,0.435417734254245
"178",1970,"Pink (even years)",491158.015832534,140867.678115547,284753.772878339,632025.693948081,775911.788710873,143886.094762792,0.18544130512806,0.181551150743037,0.366992455871097
"179",1972,"Pink (even years)",535164.49316613,152166.286522724,308643.060563208,687330.779688854,843807.553729338,156476.774040484,0.18544130512806,0.180332927632849,0.365774232760909
